Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Family_Members,Approved_status,Age,Employed_status
5022373,F,N,Y,1,234000,Working,Secondary Education,Single / not married,House / apartment,2,0,57,Employed
5018461,F,N,Y,1,166500,Working,Secondary Education,Married,House / apartment,3,0,55,Employed
5018471,F,N,Y,1,166500,Working,Secondary Education,Married,House / apartment,3,0,55,Employed
5022189,F,N,N,1,135000,Commercial associate,Secondary Education,Separated,House / apartment,2,0,42,Employed
5026178,M,Y,Y,0,135000,Working,Secondary Education,Married,House / apartment,2,0,53,Employed
5026177,M,Y,Y,0,135000,Working,Secondary Education,Married,House / apartment,2,0,53,Employed
5135474,F,N,Y,0,180000,Working,Secondary Education,Married,House / apartment,2,0,54,Employed
5066507,F,N,Y,0,157500,Working,Secondary Education,Single / not married,House / apartment,1,0,48,Employed
5067982,M,Y,Y,0,153000,Working,Higher Education,Separated,With parents,1,0,55,Employed
5095952,F,N,N,2,193500,Working,Higher Education,Married,With parents,4,0,41,Employed
5050973,F,N,N,1,112500,State servant,Secondary Education,Single / not married,House / apartment,2,0,44,Employed
5050975,F,N,N,1,112500,State servant,Secondary Education,Single / not married,House / apartment,2,0,44,Employed
5011032,F,N,Y,1,135000,Working,Academic Degree,Civil marriage,House / apartment,3,0,48,Employed
5116906,M,Y,Y,0,211500,Pensioner,Secondary Education,Married,House / apartment,2,1,41,Employed
5139761,M,Y,Y,0,337500,Working,Higher Education,Married,House / apartment,2,0,65,Employed
5139757,M,Y,Y,0,337500,Working,Higher Education,Married,House / apartment,2,0,65,Employed
5116258,F,N,Y,2,180000,Commercial associate,Secondary Education,Married,House / apartment,4,1,48,Employed
5042130,F,N,N,0,247500,Working,Higher Education,Married,House / apartment,2,0,39,Employed
5042064,F,Y,N,2,270000,State servant,Higher Education,Married,House / apartment,4,1,44,Employed
5054297,F,Y,N,0,112500,Working,Secondary Education,Married,House / apartment,2,0,39,Employed
5115797,F,N,Y,1,135000,Commercial associate,Secondary Education,Single / not married,House / apartment,2,0,40,Employed
5139823,M,N,Y,0,108000,Working,Secondary Education,Married,House / apartment,2,0,44,Employed
5096234,F,N,N,0,117000,Working,Secondary Education,Married,House / apartment,2,0,47,Employed
5117594,F,N,N,0,144000,Working,Secondary Education,Single / not married,House / apartment,1,0,46,Employed
5125203,F,N,Y,0,202500,Working,Incomplete Higher,Single / not married,House / apartment,1,0,51,Employed
5050603,M,N,N,0,157500,Working,Secondary Education,Married,House / apartment,2,1,50,Employed
5050606,M,N,N,0,157500,Working,Secondary Education,Married,House / apartment,2,1,50,Employed
5067242,F,Y,Y,0,380250,Working,Secondary Education,Married,House / apartment,2,0,47,Employed
5137292,M,Y,N,1,225000,Working,Secondary Education,Married,House / apartment,3,0,42,Employed
5029610,F,Y,Y,0,180000,Commercial associate,Higher Education,Single / not married,House / apartment,1,0,42,Employed
5117233,M,N,Y,0,135000,Working,Secondary Education,Married,House / apartment,2,0,38,Employed
5090790,F,Y,Y,0,238500,Working,Higher Education,Married,House / apartment,2,0,42,Employed
5096061,F,N,N,2,73350,Working,Secondary Education,Married,House / apartment,4,0,39,Employed
5096059,F,N,N,2,73350,Working,Secondary Education,Married,House / apartment,4,0,39,Employed
5091880,F,Y,Y,0,202500,Commercial associate,Secondary Education,Married,House / apartment,2,0,51,Employed
5136012,F,N,N,2,180000,Working,Higher Education,Married,House / apartment,4,0,37,Employed
5088279,F,N,N,0,67500,Working,Secondary Education,Married,House / apartment,2,0,55,Employed
5106077,F,N,Y,0,135000,Commercial associate,Secondary Education,Married,House / apartment,2,1,54,Employed
5023527,F,N,Y,0,274500,Commercial associate,Secondary Education,Married,House / apartment,2,0,56,Employed
5054697,M,Y,Y,0,157500,Working,Higher Education,Married,House / apartment,2,0,45,Employed
5054699,M,Y,Y,0,157500,Working,Higher Education,Married,House / apartment,2,0,42,Employed
5079057,M,Y,N,0,121500,Working,Secondary Education,Married,House / apartment,2,0,41,Employed
5021790,F,Y,Y,2,157500,Working,Secondary Education,Married,House / apartment,4,0,41,Employed
5092479,M,N,N,1,85500,State servant,Secondary Education,Married,Municipal apartment,3,1,41,Employed
5115814,M,N,Y,2,180000,Working,Secondary Education,Married,House / apartment,4,0,39,Employed
5099900,M,Y,Y,0,157500,Commercial associate,Secondary Education,Married,House / apartment,2,0,56,Employed
5035627,M,Y,Y,0,337500,Working,Higher Education,Married,House / apartment,2,0,50,Employed
5089737,F,Y,N,0,135000,Working,Secondary Education,Married,House / apartment,2,0,52,Employed
5089736,F,Y,N,0,135000,Working,Secondary Education,Married,House / apartment,2,0,52,Employed
5105743,M,Y,N,2,112500,Working,Higher Education,Married,House / apartment,4,0,42,Employed
5142698,F,Y,N,0,95850,Commercial associate,Secondary Education,Married,House / apartment,2,0,52,Employed
5050793,F,N,N,0,315000,State servant,Higher Education,Married,House / apartment,2,0,58,Employed
5087994,M,Y,Y,1,180000,Commercial associate,Incomplete Higher,Civil marriage,House / apartment,3,0,43,Employed
5096483,F,N,N,0,103500,Working,Higher Education,Married,House / apartment,2,0,44,Employed
5091457,F,N,Y,2,103500,Working,Secondary Education,Married,House / apartment,4,0,42,Employed
5090805,F,N,N,0,135000,Working,Secondary Education,Single / not married,House / apartment,1,0,46,Employed
5010185,M,N,N,1,247500,Working,Secondary Education,Single / not married,House / apartment,2,0,46,Employed
5142691,M,Y,N,2,135000,State servant,Secondary Education,Married,House / apartment,4,0,38,Employed
5089218,F,Y,N,1,171000,Working,Secondary Education,Civil marriage,House / apartment,3,0,38,Employed
5118538,F,N,Y,1,81000,Working,Secondary Education,Married,Municipal apartment,3,0,43,Employed
5023587,M,N,N,0,202500,Working,Secondary Education,Separated,House / apartment,1,0,39,Employed
5139548,F,Y,Y,2,157500,Commercial associate,Higher Education,Married,House / apartment,4,0,37,Employed
5139553,F,Y,Y,2,157500,Commercial associate,Higher Education,Married,House / apartment,4,0,37,Employed
5038932,F,N,Y,0,94500,Commercial associate,Higher Education,Separated,House / apartment,1,0,40,Employed
5090039,M,N,N,1,225000,Working,Higher Education,Married,House / apartment,3,0,38,Employed
5042232,F,N,Y,0,112500,Commercial associate,Secondary Education,Single / not married,House / apartment,1,0,35,Employed
5023491,M,Y,Y,0,83250,Working,Secondary Education,Married,House / apartment,2,0,56,Employed
5091630,F,N,Y,0,202500,Working,Secondary Education,Married,House / apartment,2,0,53,Employed
5010303,F,N,Y,0,189000,Commercial associate,Secondary Education,Married,House / apartment,2,0,55,Employed
5100220,M,Y,Y,2,315000,Commercial associate,Secondary Education,Married,House / apartment,4,0,42,Employed
5139410,F,Y,Y,2,135000,State servant,Secondary Education,Married,House / apartment,4,0,40,Employed
5135851,F,N,Y,1,180000,Commercial associate,Secondary Education,Married,House / apartment,3,0,44,Employed
5139892,F,N,Y,0,112500,State servant,Secondary Education,Civil marriage,House / apartment,2,0,51,Employed
5149319,F,Y,Y,1,180000,Working,Higher Education,Separated,House / apartment,2,0,52,Employed
5149327,F,Y,Y,1,180000,Working,Higher Education,Separated,House / apartment,2,0,52,Employed
5061135,F,N,Y,2,58500,Working,Higher Education,Married,House / apartment,4,0,39,Employed
5091824,M,N,Y,0,270000,Commercial associate,Secondary Education,Single / not married,House / apartment,1,0,40,Employed
5091822,M,N,Y,0,270000,Commercial associate,Secondary Education,Single / not married,House / apartment,1,0,40,Employed
5145978,F,Y,N,0,112500,State servant,Secondary Education,Widow,House / apartment,1,0,54,Employed
5033520,F,Y,Y,2,180000,Working,Secondary Education,Married,Municipal apartment,4,0,34,Employed
5149887,F,N,Y,0,202500,Commercial associate,Secondary Education,Married,House / apartment,2,0,44,Employed
5090464,F,N,N,0,126000,Commercial associate,Secondary Education,Married,House / apartment,2,0,46,Employed
5125524,M,N,N,2,171000,Working,Secondary Education,Married,Municipal apartment,4,0,38,Employed
5114227,M,Y,N,2,247500,Working,Secondary Education,Married,House / apartment,4,0,50,Employed
5044935,M,N,Y,2,360000,State servant,Higher Education,Married,House / apartment,4,0,44,Employed
5044939,M,N,Y,2,360000,State servant,Higher Education,Married,House / apartment,4,0,44,Employed
5044940,M,N,Y,2,360000,State servant,Higher Education,Married,House / apartment,4,0,44,Employed
5023706,F,N,Y,0,180000,Working,Secondary Education,Married,House / apartment,2,0,49,Employed
5136976,F,N,N,0,306000,State servant,Higher Education,Married,House / apartment,2,0,35,Employed
5096466,M,Y,N,1,380250,Working,Higher Education,Married,House / apartment,3,0,53,Employed
5125816,F,Y,N,0,380250,Pensioner,Higher Education,Married,House / apartment,2,0,54,Employed
5114032,F,N,N,0,99000,Working,Higher Education,Married,House / apartment,2,0,40,Employed
5054079,F,N,N,0,135000,Working,Secondary Education,Married,House / apartment,2,0,47,Employed
5028569,F,Y,Y,0,315000,Commercial associate,Secondary Education,Married,House / apartment,2,0,43,Employed
5033452,F,N,N,0,112500,Working,Secondary Education,Married,House / apartment,2,0,52,Employed
5091921,F,N,Y,2,72000,Working,Secondary Education,Married,House / apartment,4,0,42,Employed
5148792,F,N,Y,0,202500,Commercial associate,Secondary Education,Widow,House / apartment,1,0,48,Employed
5025951,F,N,Y,0,130500,Working,Secondary Education,Married,House / apartment,2,0,37,Employed
5025936,F,N,Y,0,130500,Working,Secondary Education,Married,House / apartment,2,0,37,Employed
5089117,F,Y,N,0,90000,Working,Higher Education,Single / not married,House / apartment,1,0,44,Employed
5026368,M,N,Y,1,112500,Working,Higher Education,Married,House / apartment,3,0,37,Employed
5009821,F,Y,N,0,99000,Working,Secondary Education,Married,House / apartment,2,0,41,Employed
5067006,M,N,Y,1,157500,Working,Secondary Education,Civil marriage,House / apartment,3,0,56,Employed
5118270,F,N,N,0,99000,Working,Secondary Education,Married,With parents,2,0,54,Employed
5067767,F,N,Y,0,202500,State servant,Secondary Education,Single / not married,House / apartment,1,0,64,Employed
5033729,M,Y,Y,0,90000,Working,Secondary Education,Married,House / apartment,2,0,33,Employed
5118115,M,N,N,1,270000,Commercial associate,Secondary Education,Married,House / apartment,3,0,37,Employed
5118118,M,N,N,1,270000,Commercial associate,Secondary Education,Married,House / apartment,3,0,37,Employed
5028337,F,Y,N,1,225000,Working,Higher Education,Single / not married,With parents,2,0,38,Employed
5148972,M,Y,Y,0,380250,Working,Secondary Education,Single / not married,Rented apartment,1,0,39,Employed
5068712,F,Y,Y,0,90000,Working,Secondary Education,Married,House / apartment,2,0,37,Employed
5068262,F,N,N,2,157500,State servant,Higher Education,Married,House / apartment,4,0,35,Employed
5113420,F,N,N,1,157500,Working,Secondary Education,Single / not married,Municipal apartment,2,0,35,Employed
5010795,F,N,N,0,45000,State servant,Secondary Education,Married,House / apartment,2,0,38,Employed
5089137,F,Y,N,0,202500,Commercial associate,Secondary Education,Civil marriage,With parents,2,0,39,Employed
5114294,F,N,N,0,112500,State servant,Secondary Education,Widow,House / apartment,1,0,53,Employed
5087880,F,N,N,0,234000,State servant,Higher Education,Civil marriage,House / apartment,2,0,60,Employed
5118617,F,N,N,0,270000,Commercial associate,Higher Education,Single / not married,House / apartment,1,0,43,Employed
5024097,F,Y,N,0,126000,State servant,Incomplete Higher,Single / not married,House / apartment,1,0,33,Employed
5024096,F,Y,N,0,126000,State servant,Incomplete Higher,Single / not married,House / apartment,1,0,33,Employed
5021445,F,N,Y,0,121500,Working,Secondary Education,Married,With parents,2,0,36,Employed
5085861,F,N,Y,0,135000,Working,Secondary Education,Married,House / apartment,2,0,50,Employed
5085865,F,N,Y,0,135000,Working,Secondary Education,Married,House / apartment,2,0,50,Employed
5095873,F,N,N,0,202500,Working,Higher Education,Civil marriage,House / apartment,2,0,42,Employed
5023949,M,Y,Y,1,148500,Working,Secondary Education,Married,House / apartment,3,0,41,Employed
5125462,M,N,Y,1,112500,Working,Secondary Education,Married,House / apartment,3,0,50,Employed
5025161,M,N,N,0,360000,Working,Secondary Education,Civil marriage,House / apartment,2,0,34,Employed
5036562,F,N,N,1,112500,Working,Secondary Education,Married,House / apartment,3,0,33,Employed
5024412,M,Y,N,0,270000,Working,Higher Education,Married,House / apartment,2,0,51,Employed
5054414,M,N,N,0,225000,Commercial associate,Higher Education,Married,With parents,2,0,36,Employed
5054407,M,N,N,0,225000,Commercial associate,Higher Education,Married,With parents,2,0,36,Employed
5010707,M,Y,N,0,202500,Working,Secondary Education,Married,House / apartment,2,0,43,Employed
5117716,M,Y,N,0,315000,Working,Secondary Education,Married,House / apartment,2,0,46,Employed
5051120,M,N,N,0,202500,State servant,Higher Education,Married,House / apartment,2,0,35,Employed
5142136,F,N,N,2,144000,Working,Secondary Education,Married,House / apartment,4,0,47,Employed
5078820,F,N,N,2,225000,Commercial associate,Secondary Education,Married,House / apartment,4,1,40,Employed
5135378,F,N,Y,0,380250,Commercial associate,Secondary Education,Married,House / apartment,2,0,55,Employed
5100352,M,N,N,0,180000,Working,Secondary Education,Married,House / apartment,2,0,42,Employed
5089934,M,Y,N,0,157500,Commercial associate,Secondary Education,Married,House / apartment,2,0,53,Employed
5056237,F,N,Y,0,40500,Working,Secondary Education,Married,House / apartment,2,0,35,Employed
5085768,M,Y,Y,1,380250,State servant,Higher Education,Married,House / apartment,3,0,32,Employed
5068888,F,N,Y,0,225000,Working,Secondary Education,Married,House / apartment,2,0,64,Employed
5091382,F,Y,Y,2,216000,Working,Higher Education,Married,House / apartment,4,0,35,Employed
5090302,F,N,Y,0,380250,Commercial associate,Secondary Education,Married,House / apartment,2,0,48,Employed
5035418,F,N,Y,0,292500,Working,Higher Education,Married,House / apartment,2,0,58,Employed
5009291,F,N,N,0,130500,Working,Secondary Education,Civil marriage,House / apartment,2,0,41,Employed
5029028,F,N,Y,0,90000,Working,Lower Secondary,Single / not married,Rented apartment,2,1,33,Employed
5033788,F,N,Y,1,315000,Working,Higher Education,Separated,House / apartment,2,0,43,Employed
5065673,F,N,N,0,135000,Working,Secondary Education,Single / not married,House / apartment,1,0,32,Employed
5023177,F,N,Y,1,337500,Working,Secondary Education,Civil marriage,House / apartment,3,0,49,Employed
5041980,F,N,N,0,211500,Commercial associate,Higher Education,Married,With parents,2,0,40,Employed
5067090,M,N,N,0,180000,Working,Secondary Education,Married,House / apartment,2,0,37,Employed
5089719,F,N,N,0,144000,Working,Secondary Education,Married,House / apartment,2,0,55,Employed
5113343,M,N,Y,2,135000,Working,Secondary Education,Married,House / apartment,4,0,31,Employed
5029184,F,N,Y,1,108000,Working,Secondary Education,Married,House / apartment,3,0,44,Employed
5116606,M,Y,Y,0,180000,Working,Incomplete Higher,Married,House / apartment,2,0,47,Employed
5021267,F,Y,Y,1,270000,Working,Secondary Education,Married,House / apartment,3,0,40,Employed
5038510,F,N,Y,0,103500,Working,Incomplete Higher,Married,House / apartment,2,0,32,Employed
5024665,F,N,Y,0,157500,Working,Secondary Education,Married,House / apartment,2,0,40,Employed
5024666,F,N,Y,0,157500,Working,Secondary Education,Married,House / apartment,2,0,40,Employed
5111178,F,N,Y,2,54000,Working,Higher Education,Married,House / apartment,4,0,31,Employed
5067102,F,N,N,0,180000,Commercial associate,Secondary Education,Single / not married,Municipal apartment,1,0,46,Employed
5105556,F,N,Y,0,157500,Working,Secondary Education,Married,House / apartment,2,0,54,Employed
5105555,F,N,Y,0,157500,Working,Secondary Education,Married,House / apartment,2,0,54,Employed
5052811,F,N,Y,0,117000,Working,Secondary Education,Married,House / apartment,2,0,47,Employed
5149980,F,N,Y,1,380250,State servant,Higher Education,Married,House / apartment,3,0,35,Employed
5090470,M,N,Y,1,380250,Working,Secondary Education,Married,House / apartment,3,0,42,Employed
5045992,F,N,Y,0,157500,Commercial associate,Secondary Education,Married,House / apartment,2,0,42,Employed
5045513,M,Y,N,1,180000,Working,Secondary Education,Married,House / apartment,3,0,32,Employed
5067696,M,Y,Y,0,380250,Working,Higher Education,Married,House / apartment,2,0,52,Employed
5105560,F,N,Y,0,202500,Commercial associate,Secondary Education,Civil marriage,House / apartment,2,0,46,Employed
5062670,F,Y,Y,1,135000,Working,Higher Education,Married,House / apartment,3,0,41,Employed
5023482,F,N,Y,1,119250,Working,Secondary Education,Married,House / apartment,3,0,44,Employed
5009739,F,Y,N,0,99000,Working,Secondary Education,Married,House / apartment,2,0,40,Employed
5010238,M,Y,Y,0,225000,Working,Secondary Education,Married,House / apartment,2,0,45,Employed
5036828,F,N,Y,0,180000,Working,Higher Education,Married,House / apartment,2,0,53,Employed
5022053,M,N,N,0,202500,Working,Higher Education,Single / not married,House / apartment,1,1,35,Employed
5142183,M,Y,Y,2,166500,Commercial associate,Higher Education,Married,House / apartment,4,1,49,Employed
5142184,M,Y,Y,2,380250,Commercial associate,Higher Education,Married,House / apartment,4,1,49,Employed
5142185,M,Y,Y,2,380250,Commercial associate,Higher Education,Married,House / apartment,4,1,49,Employed
5115957,F,Y,Y,0,180000,Working,Secondary Education,Widow,House / apartment,1,0,42,Employed
5058271,F,N,Y,0,135000,Working,Secondary Education,Married,House / apartment,2,0,54,Employed
5029251,M,N,Y,0,157500,Working,Higher Education,Married,House / apartment,2,0,38,Employed
5142812,M,Y,N,0,202500,State servant,Secondary Education,Married,House / apartment,2,0,32,Employed
5091016,F,N,Y,1,112500,Working,Secondary Education,Married,House / apartment,3,0,39,Employed
5068843,F,N,Y,0,135000,Working,Secondary Education,Single / not married,House / apartment,1,0,62,Employed
5023092,F,N,N,0,202500,Working,Secondary Education,Separated,House / apartment,1,0,46,Employed
5023089,F,N,N,0,202500,Working,Secondary Education,Separated,House / apartment,1,0,46,Employed
5146034,M,N,Y,0,157500,Working,Secondary Education,Single / not married,House / apartment,1,0,47,Employed
5113455,F,N,Y,1,126000,Commercial associate,Secondary Education,Married,House / apartment,3,0,50,Employed
5047662,F,N,Y,1,67500,Commercial associate,Secondary Education,Married,House / apartment,3,1,52,Employed
5042097,F,N,N,1,108000,Working,Secondary Education,Separated,House / apartment,2,0,39,Employed
5028737,M,N,Y,0,360000,Commercial associate,Secondary Education,Married,House / apartment,2,0,34,Employed
5028726,M,N,Y,0,360000,Commercial associate,Secondary Education,Married,House / apartment,2,0,34,Employed
5085780,M,N,Y,0,315000,Commercial associate,Secondary Education,Civil marriage,House / apartment,2,0,49,Employed
5050756,M,Y,N,0,225000,Commercial associate,Secondary Education,Married,House / apartment,2,0,49,Employed
5142920,F,N,N,1,292500,Working,Incomplete Higher,Married,House / apartment,3,0,34,Employed
5114544,F,N,Y,0,166500,Working,Incomplete Higher,Married,House / apartment,2,0,30,Employed
5066817,F,Y,N,1,360000,Working,Higher Education,Widow,House / apartment,2,0,45,Employed
5104868,F,N,Y,0,112500,Working,Higher Education,Married,House / apartment,2,0,33,Employed
5114061,M,Y,N,1,193500,Working,Higher Education,Married,House / apartment,3,0,49,Employed
5114060,M,Y,N,1,193500,Working,Higher Education,Married,House / apartment,3,0,49,Employed
5065348,F,Y,Y,0,202500,Working,Higher Education,Married,House / apartment,2,1,42,Employed
5117698,M,Y,N,0,315000,Working,Higher Education,Married,House / apartment,2,0,56,Employed
5100373,F,N,Y,2,180000,Commercial associate,Secondary Education,Married,House / apartment,4,0,35,Employed
5091925,F,Y,Y,0,380250,Commercial associate,Incomplete Higher,Married,House / apartment,2,0,51,Employed
5091708,F,Y,Y,0,135000,Working,Higher Education,Married,House / apartment,2,0,34,Employed
5117313,F,N,Y,1,157500,Commercial associate,Secondary Education,Married,House / apartment,3,1,36,Employed
5116343,M,Y,Y,1,225000,State servant,Secondary Education,Married,House / apartment,3,0,32,Employed
5094896,M,Y,Y,1,180000,Working,Secondary Education,Civil marriage,House / apartment,3,0,39,Employed
5146296,F,N,N,0,67500,Working,Secondary Education,Married,House / apartment,2,0,49,Employed
5146024,F,N,Y,0,360000,Commercial associate,Higher Education,Married,House / apartment,2,0,30,Employed
5100394,M,N,Y,1,315000,Commercial associate,Secondary Education,Married,House / apartment,3,0,34,Employed
5009980,F,Y,Y,0,180000,State servant,Secondary Education,Married,House / apartment,2,0,57,Employed
5067961,M,Y,Y,0,360000,Working,Higher Education,Married,House / apartment,2,0,61,Employed
5068324,F,N,Y,0,171000,Working,Higher Education,Married,House / apartment,2,0,50,Employed
5148915,M,Y,N,2,225000,Commercial associate,Secondary Education,Married,House / apartment,4,0,40,Employed
5146472,F,Y,Y,0,180000,Commercial associate,Higher Education,Civil marriage,House / apartment,2,0,39,Employed
5062713,F,N,Y,1,157500,Working,Secondary Education,Married,House / apartment,3,0,40,Employed
5135938,F,Y,N,2,315000,Working,Secondary Education,Married,House / apartment,4,0,43,Employed
5126142,M,Y,N,2,202500,Working,Secondary Education,Married,House / apartment,4,0,44,Employed
5025047,F,Y,N,2,112500,Working,Secondary Education,Married,House / apartment,4,0,32,Employed
5033881,M,Y,N,1,202500,Commercial associate,Incomplete Higher,Married,House / apartment,3,0,30,Employed
5036648,F,N,N,0,202500,Commercial associate,Higher Education,Married,House / apartment,2,0,31,Employed
5137175,F,N,N,0,225000,Working,Secondary Education,Married,House / apartment,2,0,55,Employed
5009146,M,Y,N,0,315000,Working,Higher Education,Married,House / apartment,2,0,43,Employed
5095310,F,Y,Y,0,225000,Working,Higher Education,Married,House / apartment,2,0,34,Employed
5090335,F,Y,Y,0,144000,Commercial associate,Secondary Education,Civil marriage,House / apartment,2,0,36,Employed
5113163,F,Y,Y,1,180000,Working,Secondary Education,Married,House / apartment,3,0,34,Employed
5088834,F,N,Y,0,380250,State servant,Secondary Education,Married,House / apartment,2,0,34,Employed
5088836,F,N,Y,0,380250,State servant,Secondary Education,Married,House / apartment,2,0,34,Employed
5149039,F,N,Y,2,270000,Commercial associate,Higher Education,Civil marriage,House / apartment,4,0,30,Employed
5126826,F,N,N,1,157500,Working,Secondary Education,Civil marriage,With parents,3,0,32,Employed
5132845,F,N,Y,0,112500,State servant,Secondary Education,Married,House / apartment,2,0,48,Employed
5125281,F,N,Y,1,90000,Working,Secondary Education,Married,House / apartment,3,0,45,Employed
5125277,F,N,Y,1,90000,Working,Secondary Education,Married,House / apartment,3,0,45,Employed
5088805,M,Y,Y,0,225000,State servant,Secondary Education,Married,House / apartment,2,0,38,Employed
5115523,F,N,Y,2,112500,Working,Secondary Education,Married,House / apartment,4,0,36,Employed
5074739,M,N,Y,1,225000,Working,Higher Education,Married,House / apartment,3,0,36,Employed
5045253,F,N,Y,1,270000,Working,Secondary Education,Married,House / apartment,3,0,57,Employed
5045255,F,N,Y,1,270000,Working,Secondary Education,Married,House / apartment,3,0,57,Employed
5053610,F,N,Y,0,112500,Working,Secondary Education,Married,Municipal apartment,2,0,56,Employed
5054384,M,Y,N,0,292500,Commercial associate,Higher Education,Single / not married,House / apartment,1,0,38,Employed
